sagoNo,sido,sigungu,sagoReason,sagoDate,dong,addr,sagoLat,sagoLon,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,full_addr,lon,lat,geo_query,geo_method,geo_level,x_5187,y_5187
20180299,부산광역시,사하구,기타,20181108,,다대로 277번길 85 내 도로,0E-10,0E-10,1.00,1.00,1.00,,기타,0,0,0,복구완료,터파기공사 후 재시공 및 포장복구완료,0,20181110,20181231,다대로 277번길 85 내 도로,128.977505260763,35.0774922951687,부산광역시 사하구 다대로 277,address,번지,197948.43,275692.21
20180311,부산광역시,금정구,기타,20181205,,금강로 279-1 앞 교차로,0E-10,0E-10,2.00,3.00,1.00,,기타,0,0,0,복구완료,도로함몰부 백호로 석분 되메우기 후 주변 안전휀스 설치,0,20181206,20180630,금강로 279-1 앞 교차로,129.085411414823,35.2330374817691,부산광역시 금정구 금강로 279-1,address,번지,207774.88,292952.04
20180314,부산광역시,기장군,하수관 손상,20181213,,청강리 795-9번지 일원,0E-10,0E-10,4.00,3.40,1.70,,하수관 손상,0,0,0,복구완료,노후 하수박스 철거 후 하수관(D1000) 재설치 및 포장복구완료,0,20181227,20180630,청강리 795-9번지 일원,129.219961481652,35.2403259752995,부산광역시 기장군 청강리 795-9,address,번지,220021.01,293779.49
20190029,부산광역시,사하구,기타,20190321,,다대로 268-1 앞 인도(다대동),0E-10,0E-10,1.00,1.00,1.00,,기타,0,0,0,복구완료,터파기 공사 후 재시공 및 포장 복구완료,0,20190409,20181231,다대로 268-1 앞 인도(다대동),128.976992783572,35.0784378893469,부산광역시 사하구 다대로 268-1,address,번지,197901.72,275797.13
20190035,부산광역시,동래구,하수관 손상,20190403,온천동,1134-26번지,0E-10,0E-10,1.00,3.00,1.50,,하수관 손상,0,0,0,복구완료,관로 정비 및 복구 완료,0,20190405,20180630,온천동 1134-26번지,129.062824347943,35.2112552329242,부산광역시 동래구 온천동 1134-26,address,번지,205720.34,290533.88
20190044,부산광역시,동래구,하수관 손상,20190411,,명서로 182,0E-10,0E-10,2.00,3.00,1.50,,하수관 손상,0,0,0,복구완료,하수박스 벽체 보수 및 복구완료,0,20190411,20180630,명서로 182,129.101808154632,35.2070824492915,부산광역시 동래구 명서로 182,address,번지,209270.41,290073.87
20190052,부산광역시,강서구,기타,20190422,명지동,3589-5번지 일원 도로,0E-10,0E-10,27.00,13.40,1.40,,기타,0,0,0,복구완료,"* '19.6월 원인규명 용역 완료
* '19.7월 이후 도로복구 예정",0,20190711,20180630,명지동 3589-5번지 일원 도로,128.903400973193,35.0921138845943,부산광역시 강서구 명지동 3589-5,address,번지,191191.54,277318.4
20190054,부산광역시,동래구,하수관 손상,20190423,,우장춘로 67번길 2,0E-10,0E-10,1.00,1.00,1.00,,하수관 손상,0,0,0,복구완료,하수박스 벽체 보수 및 복구완료,0,20190425,20180630,우장춘로 67번길 2,129.071599951789,35.2136229787983,부산광역시 동래구 우장춘로 67,address,번지,206519.2,290797.11
20190063,부산광역시,사하구,기타매설물 손상,20190511,신평동,409-9(신평동),0E-10,0E-10,1.20,1.20,1.50,,기타매설물 손상,0,0,0,복구완료,오수관 교체 및 포장복구완료),0,20190620,20181231,신평동 409-9(신평동),128.962693845867,35.0946695035888,부산광역시 사하구 신평동 409-9,address,번지,196598.32,277598.29
20190065,부산광역시,동래구,하수관 손상,20190513,명륜동,386 동래전화국,0E-10,0E-10,0.50,2.00,1.00,,하수관 손상,0,0,0,복구완료,하수박스 벽체 보수 및 복구완료,0,20190602,20180630,명륜동 386 동래전화국,129.083064056207,35.2041785845367,부산광역시 동래구 명륜동 386,address,번지,207563.88,289750.11
20190112,부산광역시,해운대구,기타매설공사 부실,20190620,우동,825-1,0E-10,0E-10,1.00,1.00,1.00,,기타매설공사 부실,0,0,0,복구완료,되메우기 후 원상복구,0,20190624,20190630,우동 825-1,129.150504796282,35.1601118009925,부산광역시 해운대구 우동 825-1,address,번지,213712.5,284868.38
20190117,부산광역시,동래구,하수관 손상,20190622,,미남로130,0E-10,0E-10,2.00,3.00,1.00,,하수관 손상,0,0,0,복구완료,임시복구 후 관로정비 완료,0,20190624,20180630,미남로130,129.069763869058,35.2055951079453,부산광역시 동래구 미남로130,address,번지,206352.65,289906.34
20190127,부산광역시,영도구,상수관 손상,20190627,,태종로 668번길 1 일원,0E-10,0E-10,2.00,2.00,0.50,,상수관 손상,0,0,0,복구완료,확인 굴착 및 포장복구,0,20190628,20190630,태종로 668번길 1 일원,129.068615914574,35.0892077866042,부산광역시 영도구 태종로,address,번지,206257.02,276993.87
20190147,부산광역시,북구,하수관 손상,20190707,구포동,모분재로 145(구포동 칠우그린빌라 앞),0E-10,0E-10,0.70,0.60,1.00,,하수관 손상,0,0,0,복구완료,되메우기 후 원상복구,0,20190708,00010101,구포동 모분재로 145(구포동 칠우그린빌라 앞),129.012304982143,35.1969121231333,부산광역시 북구 구포동 모분재로 145,address,번지,201120.6,288940.85
20190148,부산광역시,남구,하수관 손상,20190711,대연동,245-150 일원,0E-10,0E-10,1.80,1.10,0.60,,하수관 손상,0,0,0,복구완료,확인 굴착 및 포장복구,0,20191114,00010101,대연동 245-150 일원,129.087954792055,35.1503610112388,부산광역시 남구 대연동 245-150,address,번지,208014.52,283779.77
20190149,부산광역시,금정구,상하수관공사 부실,20190804,청룡동,310-1번지 상 도로,0E-10,0E-10,0.80,1.80,0.80,,상하수관공사 부실,0,0,0,복구완료,되메우기 후 원상복구,0,20190805,00010101,청룡동 310-1번지 상 도로,129.08776767494,35.2801200984955,부산광역시 금정구 청룡동 310-1,address,번지,207984.75,298175.82
20190150,부산광역시,사상구,하수관 손상,20190810,,새벽로 200,0E-10,0E-10,1.00,3.00,0.15,,하수관 손상,0,0,0,복구완료,되메우기 후 원상복구,0,20190811,00010101,새벽로 200,128.98414225555,35.158904740371,부산광역시 사상구 새벽로 200,address,번지,198555.18,284724.21
20190151,부산광역시,서구,기타,20190814,서대신동2가,543 일원,0E-10,0E-10,0.50,0.50,1.70,,기타,0,0,0,복구완료,"노후(폐)하수관 몰탈로 충진, 함몰발생부 되메우기 및 포장완료",0,20190929,00010101,서대신동2가 543 일원,129.015793701374,35.1093703657366,부산광역시 서구 서대신동2가 543,address,번지,201439.86,279228.72
20200064,부산광역시,강서구,,20200603,송정동,1627-8번지(경남은행 건물 주차장),0E-10,0E-10,40.00,40.00,1.00,,,0,0,0,복구완료,시트파일 시공 및 D-ROG(디록)공법 시공,0,20200105,00010101,송정동 1627-8번지(경남은행 건물 주차장),128.85381766976,35.0894346878544,부산광역시 강서구 송정동 1627-8,address,번지,186669.81,277026.67
20200065,부산광역시,강서구,,20200229,송정동,"1627-5번지 일원(녹지구간, 보도 및 도로 1차선)",0E-10,0E-10,8.00,30.00,0.20,,,0,0,0,복구완료,"굴착부분 되메우기 시공, 포장 복구완료 및 수목이식 준비",0,20200320,00010101,"송정동 1627-5번지 일원(녹지구간, 보도 및 도로 1차선)",128.853322857998,35.0894883058961,부산광역시 강서구 송정동 1627-5,address,번지,186624.7,277032.68
